,Quarter,Banks,Cash Funds_Domestic Operation,Cash Funds_Global Operation,Cash Funds_Overseas Operation,Due from Banks/FIs/CCPs_Domestic Operation,Due from Banks/FIs/CCPs_Global Operation,Due from Banks/FIs/CCPs_Overseas Operation,SLR/Approved Securities_Domestic Operation,SLR/Approved Securities_Global Operation,SLR/Approved Securities_Overseas Operation,Non-SLR Investments_Domestic Operation,Non-SLR Investments_Global Operation,Non-SLR Investments_Overseas Operation,Net Loans and Advances_Domestic Operation,Net Loans and Advances_Global Operation,Net Loans and Advances_Overseas Operation,Fixed Assets (net)_Domestic Operation,Fixed Assets (net)_Global Operation,Fixed Assets (net)_Overseas Operation,Other Assets_Domestic Operation,Other Assets_Global Operation,Other Assets_Overseas Operation,Total Assets_Domestic Operation,Total Assets_Global Operation,Total Assets_Overseas Operation,Paid-up Share Capital_Domestic Operation,Paid-up Share Capital_Global Operation,Paid-up Share Capital_Overseas Operation,Reserves &amp; Surplus_Domestic Operation,Reserves &amp; Surplus_Global Operation,Reserves &amp; Surplus_Overseas Operation,Total Deposits (a+b)_Domestic Operation,Total Deposits (a+b)_Global Operation,Total Deposits (a+b)_Overseas Operation,a. Customer Deposits (i+ii+iii+iv+v)_Domestic Operation,a. Customer Deposits (i+ii+iii+iv+v)_Global Operation,a. Customer Deposits (i+ii+iii+iv+v)_Overseas Operation,i. Current Deposits_Domestic Operation,i. Current Deposits_Global Operation,i. Current Deposits_Overseas Operation,ii. Savings Deposits_Domestic Operation,ii. Savings Deposits_Global Operation,ii. Savings Deposits_Overseas Operation,iii. Time Deposits_Domestic Operation,iii. Time Deposits_Global Operation,iii. Time Deposits_Overseas Operation,iV. NRI Deposits_Domestic Operation,iV. NRI Deposits_Global Operation,iV. NRI Deposits_Overseas Operation,V. Certificates of Deposits _Domestic Operation,V. Certificates of Deposits _Global Operation,V. Certificates of Deposits _Overseas Operation,b. Deposits of Banks  (i+ii)_Domestic Operation,b. Deposits of Banks  (i+ii)_Global Operation,b. Deposits of Banks  (i+ii)_Overseas Operation,i. Banks in India_Domestic Operation,i. Banks in India_Global Operation,i. Banks in India_Overseas Operation,ii. Overseas Banks_Domestic Operation,ii. Overseas Banks_Global Operation,ii. Overseas Banks_Overseas Operation,Total Borrowings_Domestic Operation,Total Borrowings_Global Operation,Total Borrowings_Overseas Operation,Other liabilities_Domestic Operation,Other liabilities_Global Operation,Other liabilities_Overseas Operation,Total capital &amp; Liabilities_Domestic Operation,Total capital &amp; Liabilities_Global Operation,Total capital &amp; Liabilities_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
0,2012Q2,AB BANK LIMITED,21200000,,,436000000,,,157500000,,,31000000,,,594200000,,,18600000,,,210400000,,,1468900000,,,369800000,,,332100000,,,728600000,,,239300000,,,104700000,,,5800000,,,128800000,,,0,,,0,,,489300000,,,489300000,,,,,,0,,,38400000,,,1468900000,,,1,0,0,0
1,2012Q2,ABU DHABI COMMERCIAL BANK PJSC,446690000,,,4697499000,,,2215070000,,,381398000,,,3381425000,,,90587000,,,580075000,,,11792744000,,,2170187000,,,981367000,,,6408811000,,,6390243000,,,479867000,,,235597000,,,1477910000,,,4196869000,,,0,,,18568000,,,18568000,,,,,,1794650000,,,437729000,,,11792744000,,,1,0,0,0
2,2012Q2,AMERICAN EXPRESS BANKING CORP.,558697000,,,564806000,,,3362453000,,,0,,,15627154000,,,346418000,,,1431333000,,,21890861000,,,6177194000,,,-1405723000,,,5779151000,,,5779151000,,,0,,,0,,,5779151000,,,0,,,0,,,0,,,0,,,,,,6790415000,,,4549824000,,,21890861000,,,1,0,0,0
3,2012Q2,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1393100000,,,10024400000,,,6508800000,,,0,,,15647200000,,,204000000,,,6775300000,,,40552800000,,,5854200000,,,-211400000,,,21988900000,,,21911900000,,,294400000,,,0,,,12225200000,,,9392300000,,,0,,,77000000,,,77000000,,,,,,6812800000,,,6108300000,,,40552800000,,,1,0,0,0
4,2012Q2,"BANK OF AMERICA , NATIONAL ASSOCIATION",3329869000,,,6745277000,,,58539835000,,,10525629000,,,49313381000,,,429468000,,,11152999000,,,140036458000,,,9853492000,,,31726380000,,,60803339000,,,59153930000,,,28526948000,,,2303296000,,,28310162000,,,13524000,,,0,,,1649409000,,,1649409000,,,,,,27688581000,,,9964666000,,,140036458000,,,1,0,0,0
5,2012Q2,BANK OF BAHRAIN & KUWAIT B.S.C.,389100000,,,269400000,,,2191600000,,,1361900000,,,6655200000,,,42300000,,,260700000,,,11170200000,,,2027300000,,,747100000,,,6503400000,,,6418300000,,,777000000,,,219500000,,,1179100000,,,4242700000,,,0,,,85100000,,,85100000,,,,,,1496200000,,,396200000,,,11170200000,,,1,0,0,0
6,2012Q2,BANK OF CEYLON,38915000,,,1307998000,,,591845000,,,0,,,836606000,,,20900000,,,392909000,,,3189173000,,,1149843000,,,517974000,,,1149629000,,,886915000,,,166731000,,,41136000,,,256825000,,,422223000,,,0,,,262714000,,,262714000,,,,,,54963000,,,316764000,,,3189173000,,,1,0,0,0
7,2012Q2,BANK OF NOVA SCOTIA,5180700000,,,194165000,,,33035213000,,,1928124000,,,80598168000,,,93648000,,,4003466000,,,125033484000,,,7263414000,,,8493693000,,,45056914000,,,32573589000,,,4154329000,,,347106000,,,27400709000,,,671445000,,,0,,,12483325000,,,12483325000,,,,,,60844449000,,,3375014000,,,125033484000,,,1,0,0,0
8,2012Q2,BARCLAYS BANK PLC,4020660000,,,1172362000,,,78486073000,,,53665508000,,,69385846000,,,291074000,,,12609013000,,,219630536000,,,52495224000,,,-2571547000,,,49068684000,,,48474116000,,,2899517000,,,678025000,,,24478265000,,,20418309000,,,0,,,594568000,,,594568000,,,,,,110108531000,,,10529644000,,,219630536000,,,1,0,0,0
9,2012Q2,BNP PARIBAS,4715100000,,,208200000,,,31114400000,,,2715800000,,,54413700000,,,1472200000,,,13512200000,,,108151600000,,,10695800000,,,10637900000,,,57864500000,,,56211200000,,,11124400000,,,577800000,,,43376700000,,,1132300000,,,0,,,1653300000,,,1653300000,,,,,,7352200000,,,21601200000,,,108151600000,,,1,0,0,0
