,Quarter,Banks,R. Infrastructure_nan,R.a Transport (a.1 to a.8)_nan,R.a.5 Railways_nan,R.a.6 Urban Public Transport (except rolling stock in case of urban road transport)_nan,R.a.7 Shipyards_nan,R.a.8 Logistics Infrastructure_nan,R.b.1.1 Central Govt PSUs_nan,R.b. Energy (b.1 to b.6)_nan, R.b.1 Electricity Generation_nan,R.b.2.1 Central Govt PSUs_nan,R.b.2.2 State Electricity Boards_nan,R.b.2 Electricity Transmission_nan,R.b.2.2 Others_nan,R.b.3.1 Central Govt PSUs_nan,R.b.3.2 State Govt PSUs (incl. SEBs)_nan,R.b.3 Electricity Distribution_nan,R.b.4 Oil (storage and pipeline)_nan,R.b.5 Oil/Gas/Liquefied Natural Gas (LNG) storage facility_nan,R.b.6 Others_nan,R.c.1 Solid Waste Management_nan,R.c. Water and Sanitation (c.1 to c.7)_nan,R.c.3 Water treatment plants_nan,R.c.4 Water sanitation_nan,"R.c.5 Irrigation (dams, channels, embankments etc)_nan",R.c.6 Storm Water Drainage System_nan,R.c.7 Slurry Pipelines_nan,"R.d. Communication (d.1 to
d.3)_nan",R.d.2 Telecommunication towers_nan,R.e. Social and Commercial Infrastructure (e.1 to e.12)_nan,R.e.1 Education Institutions (capital stock)_nan,R.e.2 Hospitals (capital stock)_nan,R.e.3 Tourism - Three-star or higher category classified hotels located outside cities with population of more than 1 million_nan,R.e.4 Social &amp; Commercial Infrastructure_nan,R.e.5 Fertilizer (Capital investment)_nan,R.e.6 Post harvest storage infrastructure for agriculture and horticultural produce including cold storage_nan,R.e.7 Terminal markets_nan,R.e.8 Soil-testing laboratories_nan,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
0,2012Q3,AB BANK LIMITED,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
1,2012Q3,ABU DHABI COMMERCIAL BANK PJSC,423970000,0,0,0,,,,423970000,0,,0,0,0,,,423970000,0,0,423970000,,0,,0,,,,0,0,0,,,,0,,,,,1,0,0,0
2,2012Q3,AMERICAN EXPRESS BANKING CORP.,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
3,2012Q3,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,264300000,0,0,0,,,,264300000,0,,0,0,0,,,264300000,0,0,264300000,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
4,2012Q3,"BANK OF AMERICA , NATIONAL ASSOCIATION",4500000000,0,0,0,,,,4500000000,0,,0,4500000000,4500000000,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
5,2012Q3,BANK OF BAHRAIN & KUWAIT B.S.C.,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
6,2012Q3,BANK OF CEYLON,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
7,2012Q3,BANK OF NOVA SCOTIA,569985000,0,0,0,,,,569985000,0,,0,569985000,569985000,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
8,2012Q3,BARCLAYS BANK PLC,1321883000,519200000,0,519200000,,,,802683000,0,,0,800302000,800302000,,,2381000,0,2381000,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
9,2012Q3,BNP PARIBAS,300000000,0,0,0,,,,300000000,0,,0,300000000,300000000,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,1,0,0,0
10,2012Q3,CITIBANK N.A,18397406000,1295821000,0,1295821000,,,,17101585000,0,,0,17101585000,17101585000,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,1,0,0,0
11,2012Q3,COMMONWEALTH BANK OF AUSTRALIA,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
12,2012Q3,COOPERATIEVE RABOBANK U.A.,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
13,2012Q3,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,193991000,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,193991000,,193991000,,,,0,0,0,,,,0,,,,,1,0,0,0
14,2012Q3,CREDIT SUISSE AG,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,1,0,0,0
15,2012Q3,"CTBC BANK CO., LTD.",1142000,0,0,0,,,,1142000,0,,0,1142000,1142000,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
16,2012Q3,DBS BANK INDIA LTD.,3870652000,0,0,0,,,,3870652000,0,,0,1866450000,1866450000,,,2004202000,91535000,0,1912667000,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
17,2012Q3,DEUTSCHE BANK AG,4083454000,0,0,0,,,,4083454000,0,,0,4083454000,4083454000,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
18,2012Q3,FIRSTRAND BANK LTD,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
19,2012Q3,HONGKONG AND SHANGHAI BANKING CORPN.LTD.,4448900000,743900000,0,743900000,,,,3705000000,0,,0,3705000000,3705000000,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,1,0,0,0
20,2012Q3,HSBC BANK OMAN S.A.O.G.,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,1,0,0,0
21,2012Q3,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
22,2012Q3,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
23,2012Q3,KBC BANK NV,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
24,2012Q3,KRUNG THAI BANK PUBLIC COMPANY LIMITED,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
25,2012Q3,MASHREQ BANK PSC,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,0,0,0,,,,0,,,,,1,0,0,0
26,2012Q3,MIZUHO BANK LTD,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,,0,,,,,,0,,,,0,,,,,1,0,0,0
