,Date,Banks,M3 (Including Merger)_nan,1 Components (1.1.+1.2+1.3+1.4)_1.1 Currency with the Public,1 Components (1.1.+1.2+1.3+1.4)_1.2 Demand Deposits with Banks,1 Components (1.1.+1.2+1.3+1.4)_1.3 Time Deposits with Banks,1 Components (1.1.+1.2+1.3+1.4)_1.3 Time Deposits with Banks (Including Merger),1 Components (1.1.+1.2+1.3+1.4)_1.4 ‘Other’ Deposits with Reserve Bank,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.1 Net Bank Credit to Government,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.1 Net Bank Credit to Government (Including Merger),2 Sources (2.1+2.2+2.3+2.4-2.5)_2.1.1 Reserve Bank,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.1.2 Other Banks,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.1.2 Other Banks (Including Merger),2 Sources (2.1+2.2+2.3+2.4-2.5)_2.2 Bank Credit to Commercial Sector,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.2 Bank Credit to Commercial Sector (Including Merger),2 Sources (2.1+2.2+2.3+2.4-2.5)_2.2.1 Reserve Bank,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.2.2 Other Banks,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.2.2 Other Banks (Including Merger),2 Sources (2.1+2.2+2.3+2.4-2.5)_2.3 Net Foreign Exchange Assets of Banking Sector,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.4 Government's Currency Liabilities to the Public,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.5 Banking Sectors Net Non-Monetary Liabilities,2 Sources (2.1+2.2+2.3+2.4-2.5)_2.5 Banking Sectors Net Non-Monetary Liabilities (Including Merger),2 Sources (2.1+2.2+2.3+2.4-2.5)_2.5.1 Net Non-Monetary Liabilities of RBI,2 Sources (2.1+2.2+2.3+2.4-2.5)_nan
0,2023-12-15 00:00:00,239682765200000,240922469900000,32715769180000,24622420060000,181593623500000,182833328200000,750952415700,72757405480000,73765463380000,11133389200000,61624016280000,62632074180000,159499402500000,165253460800000,52305200000,159447097300000,165201155600000,52056479220000,322644751400,44953166720000,50475578220000,17370799300000,
1,2023-12-01 00:00:00,240392808700000,241653733300000,32501611230000,24757513840000,182377839800000,183638764400000,755843740500,73996376910000,75040003810000,11696871200000,62299505710000,63343132610000,159914308300000,165696235300000,52305200000,159862003100000,165643930100000,51264414940000,322644751400,45104936210000,50669565510000,16616027900000,
2,2023-11-17 00:00:00,238057285500000,239339628800000,32538666510000,24490835860000,180284140500000,181566483800000,743642640500,73688708170000,74753749070000,11023227000000,62665481170000,63730522070000,157814453900000,163620436900000,52398300000,157762055600000,163568038600000,50560485340000,319393281700,44315379020000,49904059620000,16086799400000,
3,2023-11-03 00:00:00,238158161800000,239476762000000,32065187910000,24308595460000,181041616800000,182360217000000,742761640500,74244615130000,75319954030000,11165028400000,63079586730000,64154925630000,157423612100000,163264557400000,52368300000,157371243800000,163212189100000,50190818440000,319393281700,44022925890000,49620609890000,15381219000000,
4,2023-10-20 00:00:00,236030638400000,237372588700000,32017222080000,23935413020000,179348603900000,180690554200000,729399400700,72732059890000,73844628190000,10185736500000,62546323390000,63658891690000,155879813900000,161744116100000,52448300000,155827365600000,161691667800000,49289572400000,316485858500,42187293570000,47822213770000,14728806300000,
5,2023-10-06 00:00:00,236826843000000,238217964500000,31880658410000,24385404710000,179826292200000,181217413700000,734487700700,73704671690000,74816298990000,11166417800000,62538253890000,63649881190000,154840130300000,160729314100000,52129300000,154788001000000,160677184800000,49469245600000,316485858500,41503690400000,47113380000000,14692199300000,
6,2023-09-22 00:00:00,233623009000000,235042976100000,31959758080000,23441314910000,177494527000000,178914494100000,727409048700,71797015150000,72926664950000,10105733300000,61691281850000,62820931650000,152900268200000,158824672800000,51175400000,152849092800000,158773497400000,49778782850000,313998627200,41167055850000,46801143150000,15075272500000,
7,2023-09-08 00:00:00,234782145000000,236220322200000,32092316590000,23344394800000,178627419300000,180065596500000,718014348700,74169742240000,75298403840000,12449681900000,61720060340000,62848721940000,151786279400000,157729557900000,44211600000,151742067800000,157685346300000,50039396650000,313998627200,41527271890000,47161034790000,15201156700000,
8,2023-08-25 00:00:00,233207524300000,234675485700000,32053023770000,23461990150000,176973639200000,178441600600000,718871248700,72745106330000,73872739530000,11852463700000,60892642630000,62020275830000,150524520400000,156546536600000,51860300000,150472660100000,156494676300000,49939991450000,313998627200,40316092430000,45997780430000,15103741000000,
9,2023-08-11 00:00:00,233301422900000,234786240300000,32150029150000,23205793260000,177227286600000,178712104000000,718313848700,73543896900000,74670524500000,12521882000000,61022014900000,62148642500000,149954706300000,155987673200000,41128200000,149913578100000,155946545000000,50650823450000,311481388200,41159485170000,46834262270000,15501637200000,
