,Quarter,Banks,Cost of Funds (annualized)_Domestic Operation,Cost of Funds (annualized)_Global Operation,Cost of Funds (annualized)_Overseas Operation,Yield on Funds (annualized)_Domestic Operation,Yield on Funds (annualized)_Global Operation,Yield on Funds (annualized)_Overseas Operation,Efficiency (Cost Income) Ratio_Domestic Operation,Efficiency (Cost Income) Ratio_Global Operation,Efficiency (Cost Income) Ratio_Overseas Operation,Overhead Efficiency Ratio_Domestic Operation,Overhead Efficiency Ratio_Global Operation,Overhead Efficiency Ratio_Overseas Operation,Profit Margin_Domestic Operation,Profit Margin_Global Operation,Profit Margin_Overseas Operation,Net Interest Margin (NIM) (annualized)_Domestic Operation,Net Interest Margin (NIM) (annualized)_Global Operation,Net Interest Margin (NIM) (annualized)_Overseas Operation,Return on Equity (annualized)_Domestic Operation,Return on Equity (annualized)_Global Operation,Return on Equity (annualized)_Overseas Operation,Return on Total Assets (annualized)_Domestic Operation,Return on Total Assets (annualized)_Global Operation,Return on Total Assets (annualized)_Overseas Operation,Operating Profit to Total Working Funds (annualized)_Domestic Operation,Operating Profit to Total Working Funds (annualized)_Global Operation,Operating Profit to Total Working Funds (annualized)_Overseas Operation,Interest Income to Total Income_Domestic Operation,Interest Income to Total Income_Global Operation,Interest Income to Total Income_Overseas Operation,Non-Interest Income to Total Income_Domestic Operation,Non-Interest Income to Total Income_Global Operation,Non-Interest Income to Total Income_Overseas Operation,Staff Expenses to Total Income_Domestic Operation,Staff Expenses to Total Income_Global Operation,Staff Expenses to Total Income_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
0,2012Q2,AB BANK LIMITED,1.864621,,,7.046442,,,42.857143,,,177.777778,,,54.736842,,,5.948296,,,17.482052,,,9.17529,,,9.17529,,,,,,72.982456,,,4.736842,,,1,0,0,0
1,2012Q2,ABU DHABI COMMERCIAL BANK PJSC,8.344901,,,10.801779,,,43.795461,,,18.397213,,,15.08244,,,4.649054,,,5.869524,,,1.458355,,,2.45152,,,,,,3.634576,,,12.912774,,,1,0,0,0
2,2012Q2,AMERICAN EXPRESS BANKING CORP.,10.608585,,,4.669984,,,109.247311,,,98.598509,,,-10.631239,,,-2.027663,,,-13.17925,,,-2.95021,,,-2.105256,,,,,,85.838055,,,16.534089,,,1,0,0,0
3,2012Q2,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,5.296486,,,7.734742,,,144.147465,,,13.618926,,,-16.463196,,,2.622354,,,-6.449413,,,-1.091523,,,-1.140326,,,,,,7.648115,,,31.256732,,,1,0,0,0
4,2012Q2,"BANK OF AMERICA , NATIONAL ASSOCIATION",7.838502,,,9.599857,,,30.613828,,,111.151618,,,26.711552,,,5.360162,,,10.844721,,,2.872294,,,4.902758,,,,,,22.359965,,,12.490417,,,1,0,0,0
5,2012Q2,BANK OF BAHRAIN & KUWAIT B.S.C.,5.521026,,,10.129751,,,28.892187,,,38.238256,,,23.225411,,,6.113554,,,9.215949,,,2.248502,,,4.345046,,,,,,6.973096,,,8.86009,,,1,0,0,0
6,2012Q2,BANK OF CEYLON,5.540868,,,8.869787,,,20.998792,,,107.927373,,,64.300459,,,6.845954,,,11.311454,,,6.162868,,,6.162868,,,,,,18.446172,,,3.665683,,,1,0,0,0
7,2012Q2,BANK OF NOVA SCOTIA,4.158838,,,6.653387,,,11.607142,,,383.0064,,,31.663239,,,2.969709,,,20.025031,,,2.665295,,,4.404519,,,,,,26.321327,,,2.65827,,,1,0,0,0
8,2012Q2,BARCLAYS BANK PLC,7.594092,,,9.635661,,,50.246088,,,74.682843,,,14.809036,,,3.655492,,,7.22042,,,1.569795,,,2.561627,,,,,,18.557995,,,12.96052,,,1,0,0,0
9,2012Q2,BNP PARIBAS,7.696706,,,9.008358,,,62.166344,,,50.933416,,,13.993083,,,4.461246,,,6.964589,,,1.266288,,,2.018082,,,,,,18.663778,,,11.819253,,,1,0,0,0
