,Quarter,Banks,1. Total Interest Income (Net of Interest Tax) (April to Date)_Domestic Operation,1. Total Interest Income (Net of Interest Tax) (April to Date)_Global Operation,1. Total Interest Income (Net of Interest Tax) (April to Date)_Overseas Operation,2. Interest Expense (April to Date)_Domestic Operation,2. Interest Expense (April to Date)_Global Operation,2. Interest Expense (April to Date)_Overseas Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Domestic Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Global Operation,3. Net Interest Income (NII) (April to Date) [1 - 2]_Overseas Operation,4. Other Operating Income (OOI) (April to Date) _Domestic Operation,4. Other Operating Income (OOI) (April to Date) _Global Operation,4. Other Operating Income (OOI) (April to Date) _Overseas Operation,5. Total Operating Income (April to Date) [3 + 4]_Domestic Operation,5. Total Operating Income (April to Date) [3 + 4]_Global Operation,5. Total Operating Income (April to Date) [3 + 4]_Overseas Operation,6. Operating Expense (OE) (April to Date)_Domestic Operation,6. Operating Expense (OE) (April to Date)_Global Operation,6. Operating Expense (OE) (April to Date)_Overseas Operation,Of Which: Staff Expenses (April to Date)_Domestic Operation,Of Which: Staff Expenses (April to Date)_Global Operation,Of Which: Staff Expenses (April to Date)_Overseas Operation,7. Net Operating Income (April to Date) [5 - 6]_Domestic Operation,7. Net Operating Income (April to Date) [5 - 6]_Global Operation,7. Net Operating Income (April to Date) [5 - 6]_Overseas Operation,8. Capital Gains/(Losses) (April to Date)_Domestic Operation,8. Capital Gains/(Losses) (April to Date)_Global Operation,8. Capital Gains/(Losses) (April to Date)_Overseas Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Domestic Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Global Operation,9. Other Non-operating Income/ (expenses) (April to Date)_Overseas Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Domestic Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Global Operation,10. Earning Before Provisions &amp; Taxes (EBPT) (April to Date) [7 + 8 +9]_Overseas Operation,11. Risk Provisions - Total (April to Date)_Domestic Operation,11. Risk Provisions - Total (April to Date)_Global Operation,11. Risk Provisions - Total (April to Date)_Overseas Operation,12. Write Offs - Total (April to Date) _Domestic Operation,12. Write Offs - Total (April to Date) _Global Operation,12. Write Offs - Total (April to Date) _Overseas Operation,13. Provisions For Liabilities (April to Date) _Domestic Operation,13. Provisions For Liabilities (April to Date) _Global Operation,13. Provisions For Liabilities (April to Date) _Overseas Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Domestic Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Global Operation,14. Profit/Loss Before Tax (PBT) (April to Date) (10 - 11 - 12 - 13]_Overseas Operation,15. Provision For Income Taxes (April to Date) _Domestic Operation,15. Provision For Income Taxes (April to Date) _Global Operation,15. Provision For Income Taxes (April to Date) _Overseas Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Domestic Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Global Operation,16. Net Profit/Loss (PAT) (April to Date)  [14 - 15]_Overseas Operation,Foreign_Dummy,Private_Dummy,Public_Dummy,Small_Finance_Dummy
0,2012Q2,AB BANK LIMITED,15400000,,,2400000,,,13000000,,,41600000,,,54600000,,,23400000,,,2700000,,,31200000,,,0,,,0,,,31200000,,,0,,,0,,,0,,,31200000,,,0,,,31200000,,,1,0,0,0
1,2012Q2,ABU DHABI COMMERCIAL BANK PJSC,293982000,,,167453000,,,126529000,,,11088000,,,137617000,,,60270000,,,39393000,,,77347000,,,0,,,0,,,77347000,,,-3165000,,,0,,,0,,,80512000,,,34500000,,,46012000,,,1,0,0,0
2,2012Q2,AMERICAN EXPRESS BANKING CORP.,214673000,,,307882000,,,-93209000,,,1301171000,,,1207962000,,,1321313000,,,250631000,,,-113351000,,,-1647000,,,0,,,-114998000,,,-2220000,,,48375000,,,0,,,-161153000,,,0,,,-161153000,,,1,0,0,0
3,2012Q2,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,514400000,,,340000000,,,174400000,,,42600000,,,217000000,,,312800000,,,174100000,,,-95800000,,,0,,,0,,,-95800000,,,37300000,,,0,,,0,,,-133100000,,,-41400000,,,-91700000,,,1,0,0,0
4,2012Q2,"BANK OF AMERICA , NATIONAL ASSOCIATION",3219424000,,,1421831000,,,1797593000,,,926924000,,,2724517000,,,834157000,,,517928000,,,1890360000,,,255000,,,0,,,1890615000,,,-27007000,,,0,,,0,,,1917622000,,,810000000,,,1107622000,,,1,0,0,0
5,2012Q2,BANK OF BAHRAIN & KUWAIT B.S.C.,253249000,,,100407000,,,152842000,,,18982000,,,171824000,,,49644000,,,24120000,,,122180000,,,1000,,,0,,,122181000,,,14561000,,,157000,,,0,,,107463000,,,44236000,,,63227000,,,1,0,0,0
6,2012Q2,BANK OF CEYLON,58868000,,,13432000,,,45436000,,,13315000,,,58751000,,,12337000,,,2646000,,,46414000,,,0,,,0,,,46414000,,,0,,,0,,,0,,,46414000,,,0,,,46414000,,,1,0,0,0
7,2012Q2,BANK OF NOVA SCOTIA,1797599000,,,995249000,,,802350000,,,642183000,,,1444533000,,,167794000,,,64856000,,,1276739000,,,-125000,,,0,,,1276614000,,,0,,,0,,,0,,,1276614000,,,504100000,,,772514000,,,1,0,0,0
8,2012Q2,BARCLAYS BANK PLC,4838586000,,,3002966000,,,1835620000,,,1102557000,,,2938177000,,,1489388000,,,770003000,,,1448789000,,,-13069000,,,0,,,1435720000,,,-432815000,,,267230000,,,-9770000,,,1611075000,,,731249000,,,879826000,,,1,0,0,0
9,2012Q2,BNP PARIBAS,2140200000,,,1080300000,,,1059900000,,,491100000,,,1551000000,,,964200000,,,311000000,,,586800000,,,0,,,0,,,586800000,,,-340300000,,,0,,,0,,,927100000,,,558900000,,,368200000,,,1,0,0,0
10,2012Q2,CITIBANK N.A,21687868000,,,9217051000,,,12470817000,,,5102936000,,,17573753000,,,7520242000,,,2759336000,,,10053511000,,,162194000,,,0,,,10215705000,,,-2329702000,,,608140000,,,0,,,11937267000,,,5016516000,,,6920751000,,,1,0,0,0
11,2012Q2,COMMONWEALTH BANK OF AUSTRALIA,40724000,,,2884000,,,37840000,,,12953000,,,50793000,,,67946000,,,26826000,,,-17153000,,,-12000,,,0,,,-17165000,,,250000,,,0,,,0,,,-17415000,,,0,,,-17415000,,,1,0,0,0
12,2012Q2,COOPERATIEVE RABOBANK U.A.,160471000,,,3448000,,,157023000,,,16102000,,,173125000,,,115812000,,,67837000,,,54847000,,,0,,,0,,,54847000,,,4780000,,,0,,,21040000,,,29027000,,,0,,,29027000,,,1,0,0,0
13,2012Q2,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,1163100000,,,724600000,,,438500000,,,186700000,,,625200000,,,260800000,,,143600000,,,364400000,,,0,,,0,,,364400000,,,-139900000,,,0,,,0,,,504300000,,,250000000,,,254300000,,,1,0,0,0
